SliceLocation,SliceThickness,SpacingBetweenSlices,ImagePositionPatient,InstanceNumber,PixelSpacing
-35.9407653809,2.0,1.0,"[-130, -125.9024353, -35.9407654]",77,"[0.5078, 0.5078]"
-35.9407653809,2.0,1.0,"[-130, -125.9024353, -35.9407654]",77,"[0.5078, 0.5078]"
-21.9407653809,2.0,1.0,"[-130, -125.9024353, -21.9407654]",91,"[0.5078, 0.5078]"
-21.9407653809,2.0,1.0,"[-130, -125.9024353, -21.9407654]",91,"[0.5078, 0.5078]"
-13.9407653809,2.0,1.0,"[-130, -125.9024353, -13.9407654]",99,"[0.5078, 0.5078]"
-13.9407653809,2.0,1.0,"[-130, -125.9024353, -13.9407654]",99,"[0.5078, 0.5078]"
77.0592346191,2.0,1.0,"[-130, -125.9024353, 77.0592346]",190,"[0.5078, 0.5078]"
77.0592346191,2.0,1.0,"[-130, -125.9024353, 77.0592346]",190,"[0.5078, 0.5078]"
-25.9407653809,2.0,1.0,"[-130, -125.9024353, -25.9407654]",87,"[0.5078, 0.5078]"
-25.9407653809,2.0,1.0,"[-130, -125.9024353, -25.9407654]",87,"[0.5078, 0.5078]"
-104.9407653809,2.0,1.0,"[-130, -125.9024353, -104.940765]",8,"[0.5078, 0.5078]"
-104.9407653809,2.0,1.0,"[-130, -125.9024353, -104.940765]",8,"[0.5078, 0.5078]"
-29.9407653809,2.0,1.0,"[-130, -125.9024353, -29.9407654]",83,"[0.5078, 0.5078]"
-29.9407653809,2.0,1.0,"[-130, -125.9024353, -29.9407654]",83,"[0.5078, 0.5078]"
81.0592346191,2.0,1.0,"[-130, -125.9024353, 81.0592346]",194,"[0.5078, 0.5078]"
81.0592346191,2.0,1.0,"[-130, -125.9024353, 81.0592346]",194,"[0.5078, 0.5078]"
-43.9407653809,2.0,1.0,"[-130, -125.9024353, -43.9407654]",69,"[0.5078, 0.5078]"
-43.9407653809,2.0,1.0,"[-130, -125.9024353, -43.9407654]",69,"[0.5078, 0.5078]"
68.0592346191,2.0,1.0,"[-130, -125.9024353, 68.0592346]",181,"[0.5078, 0.5078]"
68.0592346191,2.0,1.0,"[-130, -125.9024353, 68.0592346]",181,"[0.5078, 0.5078]"
83.0592346191,2.0,1.0,"[-130, -125.9024353, 83.0592346]",196,"[0.5078, 0.5078]"
83.0592346191,2.0,1.0,"[-130, -125.9024353, 83.0592346]",196,"[0.5078, 0.5078]"
-34.9407653809,2.0,1.0,"[-130, -125.9024353, -34.9407654]",78,"[0.5078, 0.5078]"
-34.9407653809,2.0,1.0,"[-130, -125.9024353, -34.9407654]",78,"[0.5078, 0.5078]"
-41.9407653809,2.0,1.0,"[-130, -125.9024353, -41.9407654]",71,"[0.5078, 0.5078]"
-41.9407653809,2.0,1.0,"[-130, -125.9024353, -41.9407654]",71,"[0.5078, 0.5078]"
97.0592346191,2.0,1.0,"[-130, -125.9024353, 97.0592346]",210,"[0.5078, 0.5078]"
97.0592346191,2.0,1.0,"[-130, -125.9024353, 97.0592346]",210,"[0.5078, 0.5078]"
89.0592346191,2.0,1.0,"[-130, -125.9024353, 89.0592346]",202,"[0.5078, 0.5078]"
89.0592346191,2.0,1.0,"[-130, -125.9024353, 89.0592346]",202,"[0.5078, 0.5078]"
-8.9407653809,2.0,1.0,"[-130, -125.9024353, -8.94076538]",104,"[0.5078, 0.5078]"
-8.9407653809,2.0,1.0,"[-130, -125.9024353, -8.94076538]",104,"[0.5078, 0.5078]"
-70.9407653809,2.0,1.0,"[-130, -125.9024353, -70.9407654]",42,"[0.5078, 0.5078]"
-70.9407653809,2.0,1.0,"[-130, -125.9024353, -70.9407654]",42,"[0.5078, 0.5078]"
41.0592346191,2.0,1.0,"[-130, -125.9024353, 41.0592346]",154,"[0.5078, 0.5078]"
41.0592346191,2.0,1.0,"[-130, -125.9024353, 41.0592346]",154,"[0.5078, 0.5078]"
91.0592346191,2.0,1.0,"[-130, -125.9024353, 91.0592346]",204,"[0.5078, 0.5078]"
91.0592346191,2.0,1.0,"[-130, -125.9024353, 91.0592346]",204,"[0.5078, 0.5078]"
-101.9407653809,2.0,1.0,"[-130, -125.9024353, -101.940765]",11,"[0.5078, 0.5078]"
-101.9407653809,2.0,1.0,"[-130, -125.9024353, -101.940765]",11,"[0.5078, 0.5078]"
28.0592346191,2.0,1.0,"[-130, -125.9024353, 28.0592346]",141,"[0.5078, 0.5078]"
28.0592346191,2.0,1.0,"[-130, -125.9024353, 28.0592346]",141,"[0.5078, 0.5078]"
66.0592346191,2.0,1.0,"[-130, -125.9024353, 66.0592346]",179,"[0.5078, 0.5078]"
66.0592346191,2.0,1.0,"[-130, -125.9024353, 66.0592346]",179,"[0.5078, 0.5078]"
-87.9407653809,2.0,1.0,"[-130, -125.9024353, -87.9407654]",25,"[0.5078, 0.5078]"
-87.9407653809,2.0,1.0,"[-130, -125.9024353, -87.9407654]",25,"[0.5078, 0.5078]"
